path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	m_2	m_4
0	2	9	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
0	13	9	A=[a1+a1,a2,a2]	C_A	2	1	3	0	2	1
0	9	9	A=[a1+a1+a2,a2]	C_A	1	1	1	0	1	0
1	2	9	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
1	6	9	A=[a1+a1,a2,a2]	C_A	1	1	3	0	2	1
1	9	9	A=[a1+a1,a2+a2]	C_A	1	1	1	0	0	2
2	3	9	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
2	13	9	A=[a1,a1+a2,a2]	C_A	1	1	3	0	2	1
2	9	9	A=[a1+a1+a2,a2]	C_A	1	1	1	0	1	0
3	3	9	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
3	14	9	A=[a1,a1+a2,a2]	C_A	1	1	3	0	2	1
3	9	9	A=[a1+a2,a1+a2]	C_A	1	1	1	0	0	2
4	3	9	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
4	7	9	A=[a1,a1+a2,a2]	C_A	1	1	3	0	2	1
4	9	9	A=[a1,a1+a2+a2]	C_A	1	1	1	0	1	0
5	4	9	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
5	6	9	A=[a1,a1,a2+a2]	C_A	1	1	3	0	2	1
5	9	9	A=[a1+a1,a2+a2]	C_A	1	1	1	0	0	2
6	4	9	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
6	7	9	A=[a1,a1,a2+a2]	C_A	2	1	3	0	2	1
6	9	9	A=[a1,a1+a2+a2]	C_A	1	1	1	0	1	0
7	1	10	A=[a1,a1,a2,a2]	J_A_B	1	1	6	0	4	0
7	17	10	A_B=[a1,a1,a2,a2]	C_A_B	1	0	0	6	4	0
7	16	10	A_B=[a1+a1,a2,a2]	C_A_B	2	0	0	3	2	1
7	10	10	A_B=[a1+a1+a2,a2]	C_A_B	1	0	0	1	1	0
8	1	10	A=[a1,a1,a2,a2]	J_A_B	1	1	6	0	4	0
8	17	10	A_B=[a1,a1,a2,a2]	C_A_B	1	0	0	6	4	0
8	11	10	A_B=[a1+a1,a2,a2]	C_A_B	1	0	0	3	2	1
8	10	10	A_B=[a1+a1,a2+a2]	C_A_B	1	0	0	1	0	2
9	1	10	A=[a1,a1,a2,a2]	J_A_B	1	1	6	0	4	0
9	12	10	A_B=[a1,a1,a2,a2]	C_A_B	4	0	0	6	4	0
9	16	10	A_B=[a1,a1+a2,a2]	C_A_B	1	0	0	3	2	1
9	10	10	A_B=[a1+a1+a2,a2]	C_A_B	1	0	0	1	1	0
10	1	10	A=[a1,a1,a2,a2]	J_A_B	1	1	6	0	4	0
10	12	10	A_B=[a1,a1,a2,a2]	C_A_B	4	0	0	6	4	0
10	15	10	A_B=[a1,a1+a2,a2]	C_A_B	1	0	0	3	2	1
10	10	10	A_B=[a1+a2,a1+a2]	C_A_B	1	0	0	1	0	2
11	1	10	A=[a1,a1,a2,a2]	J_A_B	1	1	6	0	4	0
11	12	10	A_B=[a1,a1,a2,a2]	C_A_B	4	0	0	6	4	0
11	8	10	A_B=[a1,a1+a2,a2]	C_A_B	1	0	0	3	2	1
11	10	10	A_B=[a1,a1+a2+a2]	C_A_B	1	0	0	1	1	0
12	1	10	A=[a1,a1,a2,a2]	J_A_B	1	1	6	0	4	0
12	5	10	A_B=[a1,a1,a2,a2]	C_A_B	1	0	0	6	4	0
12	11	10	A_B=[a1,a1,a2+a2]	C_A_B	1	0	0	3	2	1
12	10	10	A_B=[a1+a1,a2+a2]	C_A_B	1	0	0	1	0	2
13	1	10	A=[a1,a1,a2,a2]	J_A_B	1	1	6	0	4	0
13	5	10	A_B=[a1,a1,a2,a2]	C_A_B	1	0	0	6	4	0
13	8	10	A_B=[a1,a1,a2+a2]	C_A_B	2	0	0	3	2	1
13	10	10	A_B=[a1,a1+a2+a2]	C_A_B	1	0	0	1	1	0
14	2	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
14	17	10	A=[a1+a1,a2,a2]	J_A_B	1	1	3	0	2	1
14	16	10	A_B=[a1+a1,a2,a2]	C_A_B	2	0	0	3	2	1
14	10	10	A_B=[a1+a1+a2,a2]	C_A_B	1	0	0	1	1	0
15	2	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
15	17	10	A=[a1+a1,a2,a2]	J_A_B	1	1	3	0	2	1
15	11	10	A_B=[a1+a1,a2,a2]	C_A_B	1	0	0	3	2	1
15	10	10	A_B=[a1+a1,a2+a2]	C_A_B	1	0	0	1	0	2
16	2	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
16	13	10	A=[a1+a1,a2,a2]	C_A	2	1	3	0	2	1
16	16	10	A=[a1+a1+a2,a2]	J_A_B	1	1	1	0	1	0
16	10	10	A_B=[a1+a1+a2,a2]	C_A_B	1	0	0	1	1	0
17	2	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
17	6	10	A=[a1+a1,a2,a2]	C_A	1	1	3	0	2	1
17	11	10	A=[a1+a1,a2+a2]	J_A_B	1	1	1	0	0	2
17	10	10	A_B=[a1+a1,a2+a2]	C_A_B	1	0	0	1	0	2
18	3	10	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
18	12	10	A=[a1,a1+a2,a2]	J_A_B	1	1	3	0	2	1
18	16	10	A_B=[a1,a1+a2,a2]	C_A_B	1	0	0	3	2	1
18	10	10	A_B=[a1+a1+a2,a2]	C_A_B	1	0	0	1	1	0
19	3	10	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
19	12	10	A=[a1,a1+a2,a2]	J_A_B	1	1	3	0	2	1
19	15	10	A_B=[a1,a1+a2,a2]	C_A_B	1	0	0	3	2	1
19	10	10	A_B=[a1+a2,a1+a2]	C_A_B	1	0	0	1	0	2
20	3	10	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
20	12	10	A=[a1,a1+a2,a2]	J_A_B	1	1	3	0	2	1
20	8	10	A_B=[a1,a1+a2,a2]	C_A_B	1	0	0	3	2	1
20	10	10	A_B=[a1,a1+a2+a2]	C_A_B	1	0	0	1	1	0
21	3	10	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
21	13	10	A=[a1,a1+a2,a2]	C_A	1	1	3	0	2	1
21	16	10	A=[a1+a1+a2,a2]	J_A_B	1	1	1	0	1	0
21	10	10	A_B=[a1+a1+a2,a2]	C_A_B	1	0	0	1	1	0
22	3	10	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
22	14	10	A=[a1,a1+a2,a2]	C_A	1	1	3	0	2	1
22	15	10	A=[a1+a2,a1+a2]	J_A_B	1	1	1	0	0	2
22	10	10	A_B=[a1+a2,a1+a2]	C_A_B	1	0	0	1	0	2
23	3	10	A=[a1,a1,a2,a2]	C_A	4	1	6	0	4	0
23	7	10	A=[a1,a1+a2,a2]	C_A	1	1	3	0	2	1
23	8	10	A=[a1,a1+a2+a2]	J_A_B	1	1	1	0	1	0
23	10	10	A_B=[a1,a1+a2+a2]	C_A_B	1	0	0	1	1	0
24	4	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
24	5	10	A=[a1,a1,a2+a2]	J_A_B	1	1	3	0	2	1
24	11	10	A_B=[a1,a1,a2+a2]	C_A_B	1	0	0	3	2	1
24	10	10	A_B=[a1+a1,a2+a2]	C_A_B	1	0	0	1	0	2
25	4	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
25	5	10	A=[a1,a1,a2+a2]	J_A_B	1	1	3	0	2	1
25	8	10	A_B=[a1,a1,a2+a2]	C_A_B	2	0	0	3	2	1
25	10	10	A_B=[a1,a1+a2+a2]	C_A_B	1	0	0	1	1	0
26	4	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
26	6	10	A=[a1,a1,a2+a2]	C_A	1	1	3	0	2	1
26	11	10	A=[a1+a1,a2+a2]	J_A_B	1	1	1	0	0	2
26	10	10	A_B=[a1+a1,a2+a2]	C_A_B	1	0	0	1	0	2
27	4	10	A=[a1,a1,a2,a2]	C_A	1	1	6	0	4	0
27	7	10	A=[a1,a1,a2+a2]	C_A	2	1	3	0	2	1
27	8	10	A=[a1,a1+a2+a2]	J_A_B	1	1	1	0	1	0
27	10	10	A_B=[a1,a1+a2+a2]	C_A_B	1	0	0	1	1	0
