path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_A_B	m_1	m_2	m_3	m_4
0	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
0	23	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
0	22	16	A_B=[a1+a1,b1,b1]	C_A_B	2	0	0	3	0	0	2	0	0	1
0	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
1	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
1	23	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
1	17	16	A_B=[a1+a1,b1,b1]	C_A_B	1	0	0	3	0	0	2	0	0	1
1	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
2	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
2	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
2	22	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
2	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
3	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
3	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
3	21	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
3	16	16	A_B=[a1+b1,a1+b1]	C_A_B	1	0	0	1	0	0	0	0	2	0
4	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
4	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
4	14	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
4	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
5	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
5	11	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
5	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
5	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
6	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
6	11	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
6	14	16	A_B=[a1,a1,b1+b1]	C_A_B	2	0	0	3	0	0	0	2	0	1
6	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
7	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
7	23	16	A=[a1+a1];B=[b1,b1]	J_A_B	1	1	0	0	1	1	2	0	0	1
7	22	16	A_B=[a1+a1,b1,b1]	C_A_B	2	0	0	3	0	0	2	0	0	1
7	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
8	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
8	23	16	A=[a1+a1];B=[b1,b1]	J_A_B	1	1	0	0	1	1	2	0	0	1
8	17	16	A_B=[a1+a1,b1,b1]	C_A_B	1	0	0	3	0	0	2	0	0	1
8	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
9	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
9	25	16	A=[a1+a1];B=[b1,b1]	C_B	1	1	0	0	1	1	2	0	0	1
9	17	16	A=[a1+a1];B=[b1+b1]	J_A_B	1	1	0	0	0	1	0	0	0	2
9	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
10	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
10	25	16	A=[a1+a1];B=[b1,b1]	C_B	1	1	0	0	1	1	2	0	0	1
10	12	16	A=[a1+a1];B=[b1+b1]	M_A_B	1	1	0	0	0	1	0	0	0	2
10	17	16	B=[a1+a1,b1+b1]	J_A_B	1	1	0	0	1	0	0	0	0	2
10	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
11	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
11	8	16	A=[a1+a1];B=[b1,b1]	M_A_B	1	1	0	0	1	1	2	0	0	1
11	23	16	B=[a1+a1,b1,b1]	J_A_B	1	1	0	0	3	0	2	0	0	1
11	22	16	A_B=[a1+a1,b1,b1]	C_A_B	2	0	0	3	0	0	2	0	0	1
11	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
12	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
12	8	16	A=[a1+a1];B=[b1,b1]	M_A_B	1	1	0	0	1	1	2	0	0	1
12	23	16	B=[a1+a1,b1,b1]	J_A_B	1	1	0	0	3	0	2	0	0	1
12	17	16	A_B=[a1+a1,b1,b1]	C_A_B	1	0	0	3	0	0	2	0	0	1
12	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
13	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
13	8	16	A=[a1+a1];B=[b1,b1]	M_A_B	1	1	0	0	1	1	2	0	0	1
13	19	16	B=[a1+a1,b1,b1]	C_B	2	1	0	0	3	0	2	0	0	1
13	22	16	B=[a1+a1+b1,b1]	J_A_B	1	1	0	0	1	0	2	0	0	0
13	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
14	2	16	A=[a1,a1];B=[b1,b1]	C_A	1	1	1	0	1	2	2	2	0	0
14	8	16	A=[a1+a1];B=[b1,b1]	M_A_B	1	1	0	0	1	1	2	0	0	1
14	12	16	B=[a1+a1,b1,b1]	C_B	1	1	0	0	3	0	2	0	0	1
14	17	16	B=[a1+a1,b1+b1]	J_A_B	1	1	0	0	1	0	0	0	0	2
14	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
15	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
15	11	16	A=[a1,a1];B=[b1+b1]	J_A_B	1	1	1	0	0	2	0	2	0	1
15	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
15	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
16	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
16	11	16	A=[a1,a1];B=[b1+b1]	J_A_B	1	1	1	0	0	2	0	2	0	1
16	14	16	A_B=[a1,a1,b1+b1]	C_A_B	2	0	0	3	0	0	0	2	0	1
16	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
17	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
17	25	16	A=[a1,a1];B=[b1+b1]	C_A	1	1	1	0	0	2	0	2	0	1
17	17	16	A=[a1+a1];B=[b1+b1]	J_A_B	1	1	0	0	0	1	0	0	0	2
17	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
18	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
18	25	16	A=[a1,a1];B=[b1+b1]	C_A	1	1	1	0	0	2	0	2	0	1
18	12	16	A=[a1+a1];B=[b1+b1]	M_A_B	1	1	0	0	0	1	0	0	0	2
18	17	16	B=[a1+a1,b1+b1]	J_A_B	1	1	0	0	1	0	0	0	0	2
18	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
19	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
19	6	16	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	1	0	0	2	0	2	0	1
19	11	16	A=[a1];B=[a1,b1+b1]	J_A_B	1	1	0	0	1	1	0	2	0	1
19	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
19	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
20	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
20	6	16	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	1	0	0	2	0	2	0	1
20	11	16	A=[a1];B=[a1,b1+b1]	J_A_B	1	1	0	0	1	1	0	2	0	1
20	14	16	A_B=[a1,a1,b1+b1]	C_A_B	2	0	0	3	0	0	0	2	0	1
20	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
21	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
21	6	16	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	1	0	0	2	0	2	0	1
21	24	16	A=[a1];B=[a1,b1+b1]	C_B	1	1	0	0	1	1	0	2	0	1
21	14	16	A=[a1];B=[a1+b1+b1]	J_A_B	1	1	0	0	0	1	0	2	0	0
21	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
22	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
22	6	16	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	1	0	0	2	0	2	0	1
22	24	16	A=[a1];B=[a1,b1+b1]	C_B	1	1	0	0	1	1	0	2	0	1
22	13	16	A=[a1];B=[a1+b1+b1]	M_A_B	1	1	0	0	0	1	0	2	0	0
22	14	16	B=[a1,a1+b1+b1]	J_A_B	1	1	0	0	1	0	0	2	0	0
22	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
23	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
23	6	16	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	1	0	0	2	0	2	0	1
23	10	16	A=[a1];B=[a1,b1+b1]	M_A_B	1	1	0	0	1	1	0	2	0	1
23	11	16	B=[a1,a1,b1+b1]	J_A_B	1	1	0	0	3	0	0	2	0	1
23	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
23	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
24	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
24	6	16	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	1	0	0	2	0	2	0	1
24	10	16	A=[a1];B=[a1,b1+b1]	M_A_B	1	1	0	0	1	1	0	2	0	1
24	11	16	B=[a1,a1,b1+b1]	J_A_B	1	1	0	0	3	0	0	2	0	1
24	14	16	A_B=[a1,a1,b1+b1]	C_A_B	2	0	0	3	0	0	0	2	0	1
24	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
25	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
25	6	16	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	1	0	0	2	0	2	0	1
25	10	16	A=[a1];B=[a1,b1+b1]	M_A_B	1	1	0	0	1	1	0	2	0	1
25	12	16	B=[a1,a1,b1+b1]	C_B	1	1	0	0	3	0	0	2	0	1
25	17	16	B=[a1+a1,b1+b1]	J_A_B	1	1	0	0	1	0	0	0	0	2
25	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
26	3	16	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
26	6	16	A=[a1,a1];B=[b1+b1]	M_A_B	2	1	1	0	0	2	0	2	0	1
26	10	16	A=[a1];B=[a1,b1+b1]	M_A_B	1	1	0	0	1	1	0	2	0	1
26	13	16	B=[a1,a1,b1+b1]	C_B	2	1	0	0	3	0	0	2	0	1
26	14	16	B=[a1,a1+b1+b1]	J_A_B	1	1	0	0	1	0	0	2	0	0
26	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
27	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
27	1	16	A=[a1];B=[a1,b1,b1]	J_A_B	1	1	0	0	3	1	2	2	0	0
27	23	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
27	22	16	A_B=[a1+a1,b1,b1]	C_A_B	2	0	0	3	0	0	2	0	0	1
27	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
28	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
28	1	16	A=[a1];B=[a1,b1,b1]	J_A_B	1	1	0	0	3	1	2	2	0	0
28	23	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
28	17	16	A_B=[a1+a1,b1,b1]	C_A_B	1	0	0	3	0	0	2	0	0	1
28	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
29	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
29	1	16	A=[a1];B=[a1,b1,b1]	J_A_B	1	1	0	0	3	1	2	2	0	0
29	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
29	22	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
29	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
30	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
30	1	16	A=[a1];B=[a1,b1,b1]	J_A_B	1	1	0	0	3	1	2	2	0	0
30	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
30	21	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
30	16	16	A_B=[a1+b1,a1+b1]	C_A_B	1	0	0	1	0	0	0	0	2	0
31	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
31	1	16	A=[a1];B=[a1,b1,b1]	J_A_B	1	1	0	0	3	1	2	2	0	0
31	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
31	14	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
31	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
32	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
32	1	16	A=[a1];B=[a1,b1,b1]	J_A_B	1	1	0	0	3	1	2	2	0	0
32	11	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
32	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
32	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
33	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
33	1	16	A=[a1];B=[a1,b1,b1]	J_A_B	1	1	0	0	3	1	2	2	0	0
33	11	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
33	14	16	A_B=[a1,a1,b1+b1]	C_A_B	2	0	0	3	0	0	0	2	0	1
33	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
34	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
34	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
34	18	16	A=[a1];B=[a1+b1,b1]	J_A_B	1	1	0	0	1	1	1	1	1	0
34	22	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
34	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
35	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
35	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
35	18	16	A=[a1];B=[a1+b1,b1]	J_A_B	1	1	0	0	1	1	1	1	1	0
35	21	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
35	16	16	A_B=[a1+b1,a1+b1]	C_A_B	1	0	0	1	0	0	0	0	2	0
36	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
36	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
36	18	16	A=[a1];B=[a1+b1,b1]	J_A_B	1	1	0	0	1	1	1	1	1	0
36	14	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
36	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
37	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
37	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
37	24	16	A=[a1];B=[a1+b1,b1]	C_B	1	1	0	0	1	1	1	1	1	0
37	14	16	A=[a1];B=[a1+b1+b1]	J_A_B	1	1	0	0	0	1	0	2	0	0
37	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
38	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
38	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
38	24	16	A=[a1];B=[a1+b1,b1]	C_B	1	1	0	0	1	1	1	1	1	0
38	13	16	A=[a1];B=[a1+b1+b1]	M_A_B	1	1	0	0	0	1	0	2	0	0
38	14	16	B=[a1,a1+b1+b1]	J_A_B	1	1	0	0	1	0	0	2	0	0
38	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
39	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
39	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
39	9	16	A=[a1];B=[a1+b1,b1]	M_A_B	1	1	0	0	1	1	1	1	1	0
39	18	16	B=[a1,a1+b1,b1]	J_A_B	1	1	0	0	3	0	1	1	1	0
39	22	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
39	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
40	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
40	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
40	9	16	A=[a1];B=[a1+b1,b1]	M_A_B	1	1	0	0	1	1	1	1	1	0
40	18	16	B=[a1,a1+b1,b1]	J_A_B	1	1	0	0	3	0	1	1	1	0
40	21	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
40	16	16	A_B=[a1+b1,a1+b1]	C_A_B	1	0	0	1	0	0	0	0	2	0
41	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
41	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
41	9	16	A=[a1];B=[a1+b1,b1]	M_A_B	1	1	0	0	1	1	1	1	1	0
41	18	16	B=[a1,a1+b1,b1]	J_A_B	1	1	0	0	3	0	1	1	1	0
41	14	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
41	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
42	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
42	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
42	9	16	A=[a1];B=[a1+b1,b1]	M_A_B	1	1	0	0	1	1	1	1	1	0
42	19	16	B=[a1,a1+b1,b1]	C_B	1	1	0	0	3	0	1	1	1	0
42	22	16	B=[a1+a1+b1,b1]	J_A_B	1	1	0	0	1	0	2	0	0	0
42	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
43	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
43	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
43	9	16	A=[a1];B=[a1+b1,b1]	M_A_B	1	1	0	0	1	1	1	1	1	0
43	20	16	B=[a1,a1+b1,b1]	C_B	1	1	0	0	3	0	1	1	1	0
43	21	16	B=[a1+b1,a1+b1]	J_A_B	1	1	0	0	1	0	0	0	2	0
43	16	16	A_B=[a1+b1,a1+b1]	C_A_B	1	0	0	1	0	0	0	0	2	0
44	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
44	5	16	A=[a1];B=[a1,b1,b1]	C_B	2	1	0	0	3	1	2	2	0	0
44	9	16	A=[a1];B=[a1+b1,b1]	M_A_B	1	1	0	0	1	1	1	1	1	0
44	13	16	B=[a1,a1+b1,b1]	C_B	1	1	0	0	3	0	1	1	1	0
44	14	16	B=[a1,a1+b1+b1]	J_A_B	1	1	0	0	1	0	0	2	0	0
44	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
45	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
45	6	16	A=[a1];B=[a1,b1,b1]	C_B	1	1	0	0	3	1	2	2	0	0
45	11	16	A=[a1];B=[a1,b1+b1]	J_A_B	1	1	0	0	1	1	0	2	0	1
45	17	16	A_B=[a1,a1,b1+b1]	C_A_B	1	0	0	3	0	0	0	2	0	1
45	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
46	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
46	6	16	A=[a1];B=[a1,b1,b1]	C_B	1	1	0	0	3	1	2	2	0	0
46	11	16	A=[a1];B=[a1,b1+b1]	J_A_B	1	1	0	0	1	1	0	2	0	1
46	14	16	A_B=[a1,a1,b1+b1]	C_A_B	2	0	0	3	0	0	0	2	0	1
46	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
47	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
47	6	16	A=[a1];B=[a1,b1,b1]	C_B	1	1	0	0	3	1	2	2	0	0
47	24	16	A=[a1];B=[a1,b1+b1]	C_B	1	1	0	0	1	1	0	2	0	1
47	14	16	A=[a1];B=[a1+b1+b1]	J_A_B	1	1	0	0	0	1	0	2	0	0
47	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
48	4	16	A=[a1,a1];B=[b1,b1]	M_A_B	2	1	1	0	1	2	2	2	0	0
48	6	16	A=[a1];B=[a1,b1,b1]	C_B	1	1	0	0	3	1	2	2	0	0
48	24	16	A=[a1];B=[a1,b1+b1]	C_B	1	1	0	0	1	1	0	2	0	1
48	13	16	A=[a1];B=[a1+b1+b1]	M_A_B	1	1	0	0	0	1	0	2	0	0
48	14	16	B=[a1,a1+b1+b1]	J_A_B	1	1	0	0	1	0	0	2	0	0
48	16	16	A_B=[a1,a1+b1+b1]	C_A_B	1	0	0	1	0	0	0	2	0	0
